date;source;destination;start_time;end_time;price;currency
2024-09-01;LHR;CDG;20:45+0000;23:05+0100;63.0;$
2024-09-01;LHR;CDG;20:45+0000;23:05+0100;63.0;$
2024-09-01;LHR;CDG;18:00+0000;20:20+0100;80.0;$
2024-09-01;LHR;CDG;07:20+0000;09:40+0100;80.0;$
2024-09-01;LHR;CDG;19:45+0000;22:00+0100;92.0;$
2024-09-01;LHR;CDG;15:20+0000;17:40+0100;103.0;$
2024-09-01;LHR;CDG;17:35+0000;19:55+0100;106.0;$
2024-09-01;LHR;CDG;14:45+0000;17:05+0100;106.0;$
2024-09-01;LHR;CDG;13:55+0000;16:15+0100;112.0;$
2024-09-01;LHR;CDG;06:15+0000;08:35+0100;153.0;$
2024-09-01;LHR;CDG;11:30+0000;13:50+0100;171.0;$
2024-09-01;LHR;CDG;09:00+0000;11:20+0100;171.0;$
2024-09-01;LHR;CDG;10:55+0000;13:15+0100;221.0;$
2024-09-01;LHR;FRA;11:15+0000;13:50+0100;118.0;$
2024-09-01;LHR;FRA;11:15+0000;13:50+0100;117.0;$
2024-09-01;LHR;FRA;19:30+0000;22:05+0100;134.0;$
2024-09-01;LHR;FRA;18:30+0000;21:05+0100;134.0;$
2024-09-01;LHR;FRA;17:30+0000;20:05+0100;134.0;$
2024-09-01;LHR;FRA;16:30+0000;19:05+0100;134.0;$
2024-09-01;LHR;FRA;15:30+0000;18:05+0100;134.0;$
2024-09-01;LHR;FRA;13:30+0000;16:05+0100;134.0;$
2024-09-01;LHR;FRA;11:30+0000;14:05+0100;134.0;$
2024-09-01;LHR;FRA;10:30+0000;13:05+0100;134.0;$
2024-09-01;LHR;FRA;09:30+0000;12:05+0100;134.0;$
2024-09-01;LHR;FRA;08:30+0000;11:05+0100;134.0;$
2024-09-01;LHR;FRA;07:30+0000;10:05+0100;134.0;$
2024-09-01;LHR;FRA;06:30+0000;09:05+0100;134.0;$
2024-09-01;LHR;FRA;20:00+0000;22:40+0100;132.0;$
2024-09-01;LHR;FRA;16:15+0000;18:55+0100;153.0;$
2024-09-01;LHR;MUC;20:25+0000;23:15+0100;124.0;$
2024-09-01;LHR;MUC;20:25+0000;23:15+0100;109.0;$
2024-09-01;LHR;MUC;07:25+0000;10:15+0100;116.0;$
2024-09-01;LHR;MUC;09:00+0000;11:50+0100;156.0;$
2024-09-01;LHR;MUC;19:10+0000;22:00+0100;170.0;$
2024-09-01;LHR;MUC;10:50+0000;13:40+0100;185.0;$
2024-09-01;LHR;MUC;16:25+0000;19:15+0100;210.0;$
2024-09-01;LHR;MUC;20:20+0000;23:15+0100;156.0;$
2024-09-01;LHR;MUC;17:50+0000;20:40+0100;219.0;$
2024-09-01;LHR;MUC;08:15+0000;11:10+0100;161.0;$
2024-09-01;LHR;MUC;13:45+0000;16:35+0100;241.0;$
2024-09-01;LHR;MUC;16:55+0000;19:50+0100;175.0;$
2024-09-01;LHR;MUC;12:50+0000;15:45+0100;211.0;$
2024-09-01;LHR;FCO;19:30+0000;23:05+0100;97.0;$
2024-09-01;LHR;FCO;19:30+0000;23:05+0100;96.0;$
2024-09-01;LHR;FCO;06:10+0000;09:45+0100;163.0;$
2024-09-01;LHR;FCO;06:35+0000;10:10+0100;163.0;$
2024-09-01;LHR;FCO;16:30+0000;20:05+0100;189.0;$
2024-09-01;LHR;FCO;15:15+0000;18:50+0100;260.0;$
2024-09-01;LHR;FCO;13:50+0000;17:25+0100;268.0;$
2024-09-01;LHR;FCO;11:55+0000;15:30+0100;275.0;$
2024-09-01;LHR;FCO;10:40+0000;14:15+0100;341.0;$
2024-09-01;LHR;ZRH;06:00+0000;08:40+0100;164.0;$
2024-09-01;LHR;ZRH;06:00+0000;08:40+0100;163.0;$
2024-09-01;LHR;ZRH;20:00+0000;22:45+0100;160.0;$
2024-09-01;LHR;ZRH;20:05+0000;22:45+0100;211.0;$
2024-09-01;LHR;ZRH;17:10+0000;19:55+0100;209.0;$
2024-09-01;LHR;ZRH;18:40+0000;21:25+0100;214.0;$
2024-09-01;LHR;ZRH;14:55+0000;17:40+0100;214.0;$
2024-09-01;LHR;ZRH;13:45+0000;16:30+0100;218.0;$
2024-09-01;LHR;ZRH;08:40+0000;11:35+0100;223.0;$
2024-09-01;LHR;ZRH;12:05+0000;14:45+0100;306.0;$
2024-09-01;LHR;ZRH;16:10+0000;18:55+0100;308.0;$
2024-09-01;LHR;ZRH;09:25+0000;12:15+0100;314.0;$
2024-09-01;CDG;LHR;21:10+0100;21:25+0000;171.0;$
2024-09-01;CDG;LHR;18:40+0100;18:55+0000;181.0;$
2024-09-01;CDG;LHR;17:10+0100;17:25+0000;187.0;$
2024-09-01;CDG;LHR;10:00+0100;10:30+0000;160.0;$
2024-09-01;CDG;LHR;07:35+0100;08:00+0000;169.0;$
2024-09-01;CDG;LHR;21:10+0100;21:25+0000;171.0;$
2024-09-01;CDG;LHR;08:00+0100;08:20+0000;210.0;$
2024-09-01;CDG;LHR;18:15+0100;18:35+0000;219.0;$
2024-09-01;CDG;LHR;14:20+0100;14:35+0000;222.0;$
2024-09-01;CDG;LHR;10:35+0100;10:55+0000;215.0;$
2024-09-01;CDG;LHR;13:20+0100;13:45+0000;222.0;$
2024-09-01;CDG;LHR;21:00+0100;21:25+0000;222.0;$
2024-09-01;CDG;LHR;16:10+0100;16:35+0000;269.0;$
2024-09-01;CDG;FRA;11:30+0100;12:45+0100;137.0;$
2024-09-01;CDG;FRA;20:45+0100;22:05+0100;117.0;$
2024-09-01;CDG;FRA;11:30+0100;12:45+0100;130.0;$
2024-09-01;CDG;FRA;17:55+0100;19:15+0100;117.0;$
2024-09-01;CDG;FRA;10:30+0100;11:45+0100;130.0;$
2024-09-01;CDG;FRA;09:55+0100;11:10+0100;130.0;$
2024-09-01;CDG;FRA;07:30+0100;08:45+0100;130.0;$
2024-09-01;CDG;FRA;06:05+0100;07:20+0100;130.0;$
2024-09-01;CDG;FRA;14:30+0100;15:45+0100;143.0;$
2024-09-01;CDG;FRA;19:35+0100;20:50+0100;422.0;$
2024-09-01;CDG;BCN;20:55+0100;22:40+0100;30.0;$
2024-09-01;CDG;BCN;16:45+0100;18:35+0100;43.0;$
2024-09-01;CDG;BCN;15:40+0100;17:30+0100;43.0;$
2024-09-01;CDG;BCN;14:50+0100;16:45+0100;61.0;$
2024-09-01;CDG;BCN;21:15+0100;23:10+0100;43.0;$
2024-09-01;CDG;BCN;17:05+0100;18:50+0100;88.0;$
2024-09-01;CDG;BCN;21:05+0100;22:55+0100;77.0;$
2024-09-01;CDG;BCN;18:30+0100;20:15+0100;109.0;$
2024-09-01;CDG;BCN;15:25+0100;17:10+0100;175.0;$
2024-09-01;CDG;BCN;16:45+0100;18:35+0100;173.0;$
2024-09-01;CDG;BCN;07:15+0100;09:00+0100;180.0;$
2024-09-01;CDG;BCN;15:40+0100;17:30+0100;173.0;$
2024-09-01;CDG;BCN;21:15+0100;23:10+0100;161.0;$
2024-09-01;CDG;BCN;14:50+0100;16:45+0100;186.0;$
2024-09-01;CDG;BCN;12:35+0100;14:20+0100;261.0;$
2024-09-01;CDG;BCN;09:50+0100;11:40+0100;301.0;$
2024-09-01;CDG;MUC;20:30+0100;22:00+0100;142.0;$
2024-09-01;CDG;MUC;20:30+0100;22:00+0100;142.0;$
2024-09-01;CDG;MUC;08:00+0100;09:30+0100;143.0;$
2024-09-01;CDG;MUC;14:30+0100;16:00+0100;147.0;$
2024-09-01;CDG;MUC;08:10+0100;09:40+0100;148.0;$
2024-09-01;CDG;MUC;12:10+0100;13:40+0100;150.0;$
2024-09-01;CDG;MUC;18:00+0100;19:30+0100;180.0;$
2024-09-01;CDG;MUC;20:55+0100;22:35+0100;180.0;$
2024-09-01;CDG;MUC;15:40+0100;17:10+0100;241.0;$
2024-09-01;CDG;FCO;06:10+0100;08:10+0100;111.0;$
2024-09-01;CDG;FCO;06:10+0100;08:10+0100;95.0;$
2024-09-01;CDG;FCO;06:55+0100;08:55+0100;99.0;$
2024-09-01;CDG;FCO;13:55+0100;16:00+0100;144.0;$
2024-09-01;CDG;FCO;11:40+0100;13:45+0100;144.0;$
2024-09-01;CDG;FCO;18:15+0100;20:25+0100;167.0;$
2024-09-01;CDG;FCO;17:10+0100;19:15+0100;196.0;$
2024-09-01;CDG;FCO;20:15+0100;22:15+0100;226.0;$
2024-09-01;CDG;FCO;15:25+0100;17:30+0100;259.0;$
2024-09-01;CDG;ZRH;06:45+0100;08:00+0100;98.0;$
2024-09-01;CDG;ZRH;20:20+0100;21:30+0100;102.0;$
2024-09-01;CDG;ZRH;06:45+0100;08:00+0100;88.0;$
2024-09-01;CDG;ZRH;09:45+0100;11:05+0100;88.0;$
2024-09-01;CDG;ZRH;15:05+0100;16:20+0100;133.0;$
2024-09-01;CDG;ZRH;18:50+0100;20:10+0100;137.0;$
2024-09-01;CDG;ZRH;09:10+0100;10:25+0100;173.0;$
2024-09-01;CDG;ZRH;21:10+0100;22:30+0100;162.0;$
2024-09-01;FRA;LHR;06:40+0100;07:25+0000;142.0;$
2024-09-01;FRA;LHR;15:00+0100;15:40+0000;127.0;$
2024-09-01;FRA;LHR;20:00+0100;20:40+0000;134.0;$
2024-09-01;FRA;LHR;12:00+0100;12:40+0000;138.0;$
2024-09-01;FRA;LHR;09:00+0100;09:40+0000;140.0;$
2024-09-01;FRA;LHR;18:00+0100;18:40+0000;146.0;$
2024-09-01;FRA;LHR;14:00+0100;14:40+0000;148.0;$
2024-09-01;FRA;LHR;16:00+0100;16:40+0000;149.0;$
2024-09-01;FRA;LHR;07:00+0100;07:40+0000;149.0;$
2024-09-01;FRA;LHR;06:40+0100;07:25+0000;142.0;$
2024-09-01;FRA;LHR;17:00+0100;17:40+0000;156.0;$
2024-09-01;FRA;LHR;08:00+0100;08:40+0000;153.0;$
2024-09-01;FRA;LHR;10:00+0100;10:40+0000;160.0;$
2024-09-01;FRA;LHR;19:45+0100;20:25+0000;175.0;$
2024-09-01;FRA;LHR;14:40+0100;15:25+0000;175.0;$
2024-09-01;FRA;LHR;21:30+0100;22:10+0000;140.0;$
2024-09-01;FRA;CDG;20:10+0100;21:25+0100;107.0;$
2024-09-01;FRA;CDG;20:10+0100;21:25+0100;99.0;$
2024-09-01;FRA;CDG;12:25+0100;13:40+0100;99.0;$
2024-09-01;FRA;CDG;19:55+0100;21:20+0100;95.0;$
2024-09-01;FRA;CDG;09:30+0100;10:45+0100;120.0;$
2024-09-01;FRA;CDG;08:35+0100;09:50+0100;120.0;$
2024-09-01;FRA;CDG;21:40+0100;22:55+0100;99.0;$
2024-09-01;FRA;CDG;07:20+0100;08:35+0100;212.0;$
2024-09-01;FRA;CDG;17:20+0100;18:35+0100;310.0;$
2024-09-01;FRA;CDG;07:05+0100;08:40+0100;335.0;$
2024-09-01;FRA;BCN;06:05+0100;08:05+0100;40.0;$
2024-09-01;FRA;BCN;14:05+0100;16:10+0100;260.0;$
2024-09-01;FRA;BCN;16:05+0100;18:10+0100;262.0;$
2024-09-01;FRA;BCN;17:30+0100;19:35+0100;269.0;$
2024-09-01;FRA;BCN;11:00+0100;13:05+0100;349.0;$
2024-09-01;FRA;BCN;07:35+0100;09:40+0100;353.0;$
