date;source;destination;start_time;end_time;price;currency
2024-06-01;LHR;CDG;18:40;21:00;83.0;$
2024-06-01;LHR;CDG;18:40;21:00;82.0;$
2024-06-01;LHR;CDG;20:35;22:55;82.0;$
2024-06-01;LHR;CDG;19:45;22:00;106.0;$
2024-06-01;LHR;CDG;17:35;19:55;106.0;$
2024-06-01;LHR;CDG;16:00;18:20;155.0;$
2024-06-01;LHR;CDG;14:45;17:05;161.0;$
2024-06-01;LHR;CDG;06:15;08:35;185.0;$
2024-06-01;LHR;CDG;11:30;13:50;225.0;$
2024-06-01;LHR;CDG;09:00;11:20;272.0;$
2024-06-01;LHR;CDG;11:00;13:20;399.0;$
2024-06-01;CDG;LHR;22:00;22:15;152.0;$
2024-06-01;CDG;LHR;07:35;08:00;146.0;$
2024-06-01;CDG;LHR;22:00;22:15;152.0;$
2024-06-01;CDG;LHR;19:10;19:25;191.0;$
2024-06-01;CDG;LHR;18:15;18:35;186.0;$
2024-06-01;CDG;LHR;21:00;21:25;169.0;$
2024-06-01;CDG;LHR;16:10;16:35;227.0;$
2024-06-01;CDG;LHR;10:00;10:30;292.0;$
2024-06-01;CDG;LHR;13:20;13:45;322.0;$
2024-06-01;CDG;LHR;14:10;14:25;356.0;$
2024-06-01;CDG;LHR;10:30;10:50;564.0;$
2024-06-02;LHR;CDG;20:45;23:05;83.0;$
2024-06-02;LHR;CDG;18:00;20:20;107.0;$
2024-06-02;LHR;CDG;19:45;22:00;133.0;$
2024-06-02;LHR;CDG;14:45;17:05;147.0;$
2024-06-02;LHR;CDG;15:20;17:40;151.0;$
2024-06-02;LHR;CDG;07:20;09:40;162.0;$
2024-06-02;LHR;CDG;06:15;08:35;175.0;$
2024-06-02;LHR;CDG;13:55;16:15;197.0;$
2024-06-02;LHR;CDG;17:35;19:55;219.0;$
2024-06-02;LHR;CDG;09:00;11:20;224.0;$
2024-06-02;LHR;CDG;11:30;13:50;267.0;$
2024-06-02;LHR;CDG;10:55;13:15;331.0;$
2024-06-02;CDG;LHR;21:10;21:25;152.0;$
2024-06-02;CDG;LHR;21:10;21:25;151.0;$
2024-06-02;CDG;LHR;08:00;08:20;165.0;$
2024-06-02;CDG;LHR;07:35;08:00;190.0;$
2024-06-02;CDG;LHR;18:40;18:55;260.0;$
2024-06-02;CDG;LHR;14:20;14:35;277.0;$
2024-06-02;CDG;LHR;17:10;17:25;284.0;$
2024-06-02;CDG;LHR;18:15;18:35;322.0;$
2024-06-02;CDG;LHR;10:00;10:30;320.0;$
2024-06-02;CDG;LHR;16:10;16:35;346.0;$
